id,franquia,is_franchise,estudio_principal,original_language,production_countries,status
862,Toy Story Collection,True,Pixar,en,United States of America,Released
8844,Jumanji Collection,True,TriStar Pictures,en,United States of America,Released
31357,,False,20th Century Fox,en,United States of America,Released
949,Heat Collection,True,Warner Bros. Pictures,en,United States of America,Released
9091,,False,Shattered Productions,en,United States of America,Released
710,James Bond Collection,True,EON Productions,en,United Kingdom,Released
9087,,False,Castle Rock Entertainment,en,United States of America,Released
10858,,False,Cinergi Pictures,en,United States of America,Released
1408,,False,Carolco Pictures,en,"United States of America, France, Germany, Italy",Released
524,,False,Universal Pictures,en,"France, United States of America",Released
4584,,False,Columbia Pictures,en,"United States of America, United Kingdom",Released
5,,False,Miramax,en,United States of America,Released
9273,Ace Ventura Collection,True,Morgan Creek Entertainment,en,United States of America,Released
11517,,False,Columbia Pictures,en,United States of America,Released
8012,Chili Palmer Collection,True,Metro-Goldwyn-Mayer,en,United States of America,Released
9691,,False,Warner Bros. Pictures,en,United States of America,Released
451,,False,Initial Productions,en,"France, United Kingdom",Released
9263,,False,New Line Cinema,en,United States of America,Released
902,,False,Constellation,fr,"France, Germany, Spain, United Kingdom",Released
63,,False,Universal Pictures,en,United States of America,Released
9598,Babe Collection,True,Universal Pictures,en,"Australia, United States of America",Released
687,,False,Havoc,en,"United States of America, United Kingdom",Released
9312,Mortal Kombat Collection,True,New Line Cinema,en,United States of America,Released
577,,False,Columbia Pictures,en,"United Kingdom, United States of America",Released
11861,,False,Universal Pictures,en,United States of America,Released
807,,False,New Line Cinema,en,United States of America,Released
10530,Pocahontas Collection,True,Walt Disney Feature Animation,en,United States of America,Released
629,,False,Bad Hat Harry Productions,en,United States of America,Released
11448,,False,Miramax,en,United States of America,Released
10634,Friday Collection,True,New Line Cinema,en,United States of America,Released
755,From Dusk Till Dawn Collection,True,Los Hooligans Productions,en,United States of America,Released
11859,,False,Silver Pictures,en,United States of America,Released
36929,,False,Morgan Creek Entertainment,en,United States of America,Released
9102,Screamers Collection,True,Fuji Eight Company Ltd.,en,"Canada, Japan, United States of America",Released
400,,False,Miramax,en,United States of America,Released
10534,,False,Largo Entertainment,en,"United Kingdom, United States of America",Released
2086,,False,Paramount Pictures,en,United States of America,Released
9095,,False,NFH Films,en,"United States of America, United Kingdom",Released
12158,,False,Paramount Pictures,en,United States of America,Released
9208,,False,The Mark Gordon Company,en,United States of America,Released
13685,,False,Gracie Films,en,United States of America,Released
9614,Happy Gilmore Collection,True,Universal Pictures,en,United States of America,Released
688,,False,Malpaso Productions,en,United States of America,Released
197,Braveheart Collection,True,The Ladd Company,en,United States of America,Released
103,,False,Bill/Phillips Productions,en,United States of America,Released
33542,,False,Orange Sky Golden Harvest,cn,Hong Kong,Released
78406,,False,Savoy Pictures,en,United States of America,Released
11066,,False,Paramount Pictures,en,United States of America,Released
2074,,False,Miramax,en,United States of America,Released
11863,,False,Paramount Pictures,en,United States of America,Released
11000,,False,United Artists,en,United States of America,Released
9737,Bad Boys Collection,True,Columbia Pictures,en,United States of America,Released
22279,,False,Fine Line Features,en,United Kingdom,Released
568,,False,Imagine Entertainment,en,United States of America,Released
11780,,False,United Artists,en,"United Kingdom, United States of America",Released
414,Batman Collection,True,Warner Bros. Pictures,en,"United States of America, United Kingdom",Released
5894,Brooklyn Cigar Store Collection,True,InterAL,en,United States of America,Released
1775,,False,PolyGram Filmed Entertainment,en,United States of America,Released
8839,Casper Collection,True,The Harvey Entertainment Company,en,United States of America,Released
20649,,False,40 Acres and a Mule Filmworks,en,United States of America,Released
10329,,False,Paramount Pictures,en,"United States of America, Uganda, Kenya, Tanzania, Costa Rica",Released
8963,,False,Hollywood Pictures,en,"United States of America, France",Released
8068,Mexico Collection,True,Columbia Pictures,en,United States of America,Released
8512,,False,Mundy Lane Entertainment,en,United States of America,Released
1572,Die Hard Collection,True,20th Century Fox,en,United States of America,Released
6520,,False,First Knight Productions,en,United States of America,Released
10428,,False,Suftley,en,United States of America,Released
9886,,False,TriStar Pictures,en,"Canada, United States of America",Released
9482,,False,Cinergi Pictures,en,"United States of America, United Kingdom, Netherlands",Released
9344,,False,The Guys Upstairs,en,United States of America,Released
